ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Relation4	Mod	FixedLooks
1206954244	0	A	Nô	Tiên Kiếm Kỳ Hiệp Truyện	2	16	2	2	5		0	1069071	1069072					Experiences11	Experiences12	Experiences13	Experiences30	1206954241|Lover				Mod/Npc/Human/Npc1/anu.FBX	Spr/Npc/anu.png
1206954245	0	TưĐồ	Chung	Tiên Kiếm Kỳ Hiệp Truyện 1	1	16	1	2	5		0	1069075	1069076					Experiences11	Experiences12	Experiences13	Experiences30					Mod/Npc/Human/Npc1/jjx.FBX	Spr/Npc/jjx.png
1008987253	0	Mặc	CưNhân	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Kiêu hùng Lam Châu, tinh thông y thuật, một lòng muốn bước vào tiên đạo cầu trường sinh nên ẩn cư tại Thất Huyền Môn, lấy danh Mặc đại phu và trở thành sư phụ của Hàn Lập.	1	30	1	3	0	Item_DeepBlueCloth	0	999727695	304143203	993080304				Experiences30								Mod/Npc/Human/FanRen/MacCuNhan/model.FBX	Spr/Npc/mac_cu_nhan.png
1291761554	0	TửLinh	TiênTử	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Tên thật Uông Ngưng, dung nhan tuyệt thế, được xem là đệ nhất mỹ nhân trong truyện; là con gái môn chủ Diệu Âm Môn tại Loạn Tinh Hải và là hồng nhan tri kỷ của Hàn Lập.	2	14	1	3	0		1	1964876498	636963851	828460155				Experiences30								Mod/Npc/Human/FanRen/TuLinh/model.FBX	Spr/Npc/tu_linh.png
1438146969	0	BăngPhách	TiênTử	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Nữ tu thượng cổ họ Hứa tại Nhân giới, sau khi phi thăng Linh giới đã lập nên Hứa gia. Nàng bị nhốt trong Thiên Đỉnh Cung hàng vạn năm để nhận truyền thừa, bên ngoài lưu lại phân thân Huyết Hồn. Về sau Băng Phách và Huyết Hồn hợp nhất, trở thành tu sĩ Đại Thừa của Nhân tộc.	2	16	1	5	0		0	1935085277	1501084625	550116918				Experiences1G1_2								Mod/Npc/Human/FanRen/BangPhach/model.FBX	Spr/Npc/bang_phach.png
1510891086	0	BăngPhượng	TiênTử	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Yêu tu, chủ nhân Băng Hải tại Nhân giới. Nàng cùng Hàn Lập phi thăng Linh giới, sau đó vì cấm chế phản phệ mà rơi vào tay một tu sĩ Hợp Thể, rồi được Hàn Lập cứu về và đi theo hắn tu hành. Trong tám nghìn năm nàng trở thành tri kỷ của Hàn Lập, cuối cùng lưu lại Thanh Nguyên Cung của Nhân tộc.	2	16	1	2	0		1	965748287	2083479791	1970648849				Experiences29	Experiences23	Experiences13						Mod/Npc/Human/FanRen/BangPhuong/model.FBX	Spr/Npc/bang_phuong.png
1713936165	0	Mộ	BáiLinh	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Nữ tu Lạc Vân Tông, trên danh nghĩa là thị thiếp của Hàn Lập. Nàng phụ trách dược viên, từng quản lý Hàn Lập khi hắn mới vào tông và bị gia tộc ép hôn. Sau khi Hàn Lập kết Anh, nàng giả xưng đã được hắn thu làm thiếp; về sau Hàn Lập vì đột phá bình cảnh mà thuận thế biến chuyện giả thành thật.	2	14	1	5	0		0	1942079756	584	1161089131				Experiences1	Experiences10	Experiences7						Mod/Npc/Human/FanRen/MoBaiLinh/model.FBX	Spr/Npc/mo_bai_linh.png
1848447433	0	Lệ	PhiVũ	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Nam nhân, bằng hữu của Hàn Lập, quen nhau tại Thất Huyền Môn. Về sau Lệ gia đời đời truyền võ và trở thành thế giao với Hàn gia. Sau khi bước lên tiên đồ, Hàn Lập vẫn nhiều lần mượn tên người bạn cũ “Lệ Phi Vũ” làm tên giả.	1	16	2	3	0	Item_BlackCloth	0	995774480	1976343274	749273855				Experiences1G1_3								Mod/Npc/Human/FanRen/LePhiVu/model.FBX	Spr/Npc/le_phi_vu.png
189369569	0	Nguyên	Dao	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Hồng nhan tri kỷ của Hàn Lập, nữ tu một tiểu môn phái tại Khôi Tinh Đảo. Nàng trọng tình trọng nghĩa với sư tỷ Nghiên Lệ; sau khi cùng sư tỷ đã hóa quỷ tu luyện Âm Dương Luân Hồi Quyết, cả hai bị hút vào Linh giới, về sau nàng được Thanh Nguyên Tử thu làm đồ đệ. Được Hàn Lập giúp đỡ rất nhiều, nàng dần nảy sinh tình ý với hắn.	2	16	1	1	0		1	2031118908	1652132567	1915316825				Experiences27	Experiences6	Experiences11	Experiences24					Mod/Npc/Human/FanRen/NguyenDao/model.FBX	Spr/Npc/nguyen_dao.png
394921355	0	Trần	XảoThiến	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Sư tỷ của Hàn Lập tại Hoàng Phong Cốc. Sau nhiều biến cố nàng đem lòng yêu Hàn Lập và từng bày tỏ tình cảm, nhưng bị hắn từ chối vì một lòng cầu đại đạo. Nàng chờ đợi Hàn Lập, cả đời không gả, cuối cùng đạo tiêu thân tử. Về sau tại Linh giới, Hàn Lập gặp một người có dung mạo rất giống nàng và vô cùng kinh ngạc.	2	16	1	3	0	Item_WhiteCloth	1	898878918	784430683	797100185				Experiences5	Experiences8	Experiences7						Mod/Npc/Human/FanRen/TranXaoThien/model.FBX	Spr/Npc/tran_xao_thien.png
502866611	0	Nghiên	Lệ	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Nữ tu một tiểu môn phái gần Khôi Tinh Đảo, tình như thủ túc với sư muội Nguyên Dao. Bị tu sĩ cao giai lừa làm lô đỉnh, thân thể bị hủy, nguyên thần nương náu trong Dưỡng Hồn Mộc. Hoàn Hồn Thuật thất bại khiến nàng hoàn toàn hóa thành quỷ hồn, sau đó cùng Nguyên Dao tu luyện Quỷ đạo tại Âm Minh Chi Địa để tìm đường sống lại.	2	16	1	4	0	Item_BlackCloth	0	2031118908	679554697	1338687204				Experiences29	Experiences3	Experiences8						Mod/Npc/Human/FanRen/NghienLe/model.FBX	Spr/Npc/nghien_le.png
706768301	0	Trương	Thiết	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Có tam thuộc tính linh căn nhưng thiếu Mộc linh căn, cùng Hàn Lập bái Mặc đại phu làm sư. Vì không thể tu luyện Trường Xuân Công nên bị Mặc đại phu sát hại, luyện thành Khúc Hồn; về sau rơi vào tay Hàn Lập và đi theo hắn.	1	16	2	11	0		3	13	1553905891	360903617				Experiences13	Experiences8	Experiences29						Mod/Npc/Human/FanRen/TruongThiet/model.FBX	Spr/Npc/truong_thiet.png
722272916	0	Ngân	Nguyệt	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Bản thể thuộc Ngân Nguyệt Lang tộc. Sau khi bị phân hồn Nguyên Sát, Thủy Tổ Ma giới, đoạt xá, nàng trốn vào chí bảo Nhân giới và trở thành khí linh. Trong phần Nhân giới nàng là khí linh của Hàn Lập. Nàng phi thăng Linh giới trước hắn, sau đó hai người gặp lại; sau khi Hàn Lập phi thăng Tiên giới, nàng tiến giai Đại Thừa.	2	16	1	1	0	Item_CottonCloth	0	1680696306	1191019451	2033714501				Experiences1G1_5								Mod/Npc/Human/FanRen/NganNguyet/model.FBX	Spr/Npc/ngan_nguyet.png
833267933	0	Hàn	Lập	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Thuở nhỏ được tam thúc giới thiệu vào Thất Huyền Môn, vì có linh căn và tu được Trường Xuân Công nên được Mặc đại phu thu làm đệ tử. Về sau nhờ Thăng Tiên Lệnh gia nhập Hoàng Phong Cốc, trải qua con đường tu luyện gian nan. Khi Hóa Thần sơ kỳ, hắn vượt qua tiết điểm không gian tiến vào Linh giới, cuối cùng tu tới Đại Thừa rồi phi thăng Chân Tiên giới.	1	16	1	1	0		2	929050984	1241618046	997893202				Experiences10	Experiences15							Mod/Npc/Human/FanRen/HanLap/model.FBX	Spr/Npc/han_lap.png
926752204	0	NamCung	Uyển	Nhân vật trong tiểu thuyết “Phàm Nhân Tu Tiên Truyện” của Vong Ngữ. Đạo lữ song tu của Hàn Lập, tính tình ôn hòa hoạt bát, khí chất tao nhã cao quý, dung mạo khuynh quốc khuynh thành và cũng như Hàn Lập, một lòng hướng đạo. Nam Cung Uyển ảnh hưởng rất lớn tới con đường tu tiên của Hàn Lập, là người quan trọng nhất trong lòng hắn.	2	16	1	2	0	Item_WhiteCloth	1	2096688059	1540527345	55867919				Experiences3	Experiences29	Experiences7						Mod/Npc/Human/FanRen/NamCungUyen/model.FBX	Spr/Npc/nam_cung_uyen.png
